pdp_address pdp_id pdp_revision pmt_dynodes pmt_d1_voltage preamp_vneg_voltage
0x10 0x0013012D 0x05120A12 7 300 -3414
0x11 0x03010060 0x06100310 8 350 -3445
0x12 0x0101004C 0x06100310 8 300 -3419
0x13 0x0001007F 0x06100310 7 300 -3430
0x14 0x02010089 0x06100310 7 350 -3447
0x15 0x0301005F 0x06100310 8 350 -3427
0x16 0x01010044 0x06100310 8 300 -3404
0x17 0x00010072 0x06100310 7 300 -3405
0x18 0x00130137 0x05120A12 7 300 -3410
0x19 0x0301006B 0x06100310 8 350 -3447
0x1A 0x0100001B 0x0B0E050E 8 300 -3476
0x1B 0x0013012F 0x05120A12 7 300 -3419
0x1C 0x00000043 0x0B0E050E 7 300 -3451
0x1D 0x0100001A 0x0B0E050E 8 300 -3472
0x20 0x0001007A 0x06100310 7 300 -3408
0x21 0x01010045 0x06100310 8 300 -3430
0x22 0x03010065 0x06100310 8 350 -3415
0x23 0x02010091 0x06100310 7 350 -3435
0x24 0x00010079 0x06100310 7 300 -3443
0x25 0x0101004D 0x06100310 8 300 -3405
0x26 0x03010064 0x06100310 8 350 -3389
0x27 0x02010088 0x06100310 7 350 -3405
0x28 0x00130136 0x05120A12 7 300 -3395
0x29 0x0101006E 0x06100310 8 300 -3391
0x2A 0x00000004 0x0B0E050E 8 300 -3460
0x2B 0x00130130 0x05120A12 7 300 -3430
0x2C 0x01000026 0x0B0E050E 7 300 -3441
0x2D 0x01000007 0x0B0E050E 8 300 -3471
0x30 0x0011001F 0x03110311 7 300 -3399
0x31 0x01000003 0x0B0E050E 8 300 -3514
0x32 0x01010048 0x06100310 8 300 -3415
0x33 0x02010086 0x06100310 7 350 -3407
0x34 0x00130133 0x05120A12 7 300 -3413
0x35 0x01000008 0x0B0E050E 8 300 -3483
0x36 0x03010061 0x06100310 8 350 -3435
0x37 0x0010012D 0x03100310 7 300 -3425
0x38 0x00130131 0x05120A12 7 300 -3422
0x39 0x010F03F7 0x0A0F0A0F 8 300 -3451
0x3A 0x0100000C 0x0B0E050E 8 300 -3448
0x3B 0x0000002D 0x0B0E050E 7 300 -3427
0x3C 0x00000027 0x0B0E050E 7 300 -3444
0x3D 0x01000002 0x0B0E050E 8 300 -3420
0x40 0x00000039 0x0B0E050E 7 300 -3488
0x42 0x01000009 0x0B0E050E 8 300 -3478
0x44 0x0000002E 0x0B0E050E 7 300 -3439
0x46 0x0100000B 0x0B0E050E 8 300 -3471
0x48 0x00000038 0x0B0E050E 7 300 -3481
0x4A 0x01000017 0x0B0E050E 8 300 -3459
0x4C 0x0013012E 0x05120A12 7 300 -3385
0x50 0x01010055 0x06100310 8 300 -3415
0x51 0x02010090 0x06100310 7 350 -3430
0x52 0x02010087 0x06100310 7 350 -3424
0x53 0x03010062 0x06100310 8 350 -3443
0x54 0x03010068 0x06100310 8 350 -3408
0x55 0x0201008D 0x06100310 7 350 -3391
0x56 0x00010073 0x06100310 7 300 -3372
0x57 0x03010066 0x06100310 8 350 -3381
0x58 0x03010063 0x06100310 8 350 -3420
0x59 0x0011012F 0x03110311 7 300 -3431
0x5A 0x02010095 0x06100310 7 350 -3433
0x5B 0x01000016 0x0B0E050E 8 300 -3479
0x5C 0x0100001E 0x0B0E050E 8 300 -3454
0x5D 0x0011012E 0x03110311 7 300 -3393
0x60 0x01010056 0x06100310 8 300 -3455
0x61 0x00010083 0x06100310 7 300 -3410
0x62 0x0201008B 0x06100310 7 350 -3453
0x63 0x0301005B 0x06100310 8 350 -3432
0x64 0x01010052 0x06100310 8 300 -3411
0x65 0x00010081 0x06100310 7 300 -3443
0x66 0x0201008E 0x06100310 7 350 -3398
0x67 0x0301005C 0x06100310 8 350 -3438
0x68 0x01010054 0x06100310 8 300 -3426
0x69 0x00010071 0x06100310 7 300 -3426
0x6A 0x02010099 0x06100310 7 350 -3426
0x6B 0x0301005D 0x06100310 8 350 -3425
0x6C 0x01000019 0x0B0E050E 8 300 -3473
0x6D 0x0000003F 0x0B0E050E 7 300 -3434
0x70 0x0301006D 0x06100310 8 350 -3400
0x71 0x0201008C 0x06100310 7 350 -3440
0x72 0x00010075 0x06100310 7 300 -3450
0x73 0x0101004A 0x06100310 8 300 -3438
0x74 0x0301006C 0x06100310 8 350 -3426
0x75 0x00010080 0x06100310 7 300 -3394
0x76 0x0001007E 0x06100310 7 300 -3411
0x77 0x01010057 0x06100310 8 300 -3434
0x78 0x03010069 0x06100310 8 350 -3428
0x79 0x0201008F 0x06100310 7 350 -3456
0x7A 0x00110130 0x03110311 7 300 -3410
0x7B 0x01000014 0x0B0E050E 8 300 -3479
0x7C 0x01000021 0x0B0E050E 8 300 -3448
0x7D 0x02010092 0x06100310 7 350 -3440
0x80 0x01000018 0x0B0E050E 8 300 -3478
0x82 0x0000002A 0x0B0E050E 7 300 -3461
0x84 0x0100001F 0x0B0E050E 8 300 -3493
0x86 0x00000033 0x0B0E050E 7 300 -3482
0x88 0x01000010 0x0B0E050E 8 300 -3480
0x8A 0x00000040 0x0B0E050E 7 300 -3473
0x8C 0x01000001 0x0B0E050E 8 300 -3461
0x90 0x0201008A 0x06100310 7 350 -3409
0x91 0x0301005A 0x06100310 8 350 -3392
0x92 0x01010053 0x06100310 8 300 -3414
0x93 0x0001007D 0x06100310 7 300 -3409
0x94 0x02010096 0x06100310 7 350 -3460
0x95 0x0301005E 0x06100310 8 350 -3419
0x96 0x01010049 0x06100310 8 300 -3414
0x97 0x0001007C 0x06100310 7 300 -3400
0x98 0x00130138 0x05120A12 7 300 -3451
0x99 0x0101004B 0x06100310 8 300 -3388
0x9A 0x01000015 0x0B0E050E 8 300 -3455
0x9B 0x0201009A 0x06100310 7 350 -3403
